dimension,value,sample_size,verified_accuracy,tradeable_accuracy,tradeable_count,win_loss_ratio,median_absolute_error
ticker,TSLA,1515,0.6818481848184819,0.7082818294190358,809,3.26042235656819,0.017992970676179023
ticker,RELIANCE.BSE,1454,0.6107290233837689,0.6765188834154351,609,2.3424310710498415,0.017884852274746836
ticker,AMZN,1371,0.6338439095550693,0.6161616161616161,495,2.0046952408900243,0.015379337945228963
ticker,MSFT,1413,0.5987261146496815,0.5236768802228412,359,0.9338189855968055,0.015655277919428827
ticker,GOOGL,1413,0.5003538570417552,0.5,128,1.1027623450794506,0.017109736387449104
ticker,AAPL,1591,0.5109993714644877,0.4898419864559819,443,1.2189255753097816,0.01806306765996526
ticker,NIFTY,1393,0.4838478104809763,0.47619047619047616,84,1.9987802748020476,0.016579023793685563
timeframe_days,90,342,0.672514619883041,1.0,18,inf,0.03800709985266167
timeframe_days,30,4473,0.6011625307399955,0.6331399097356544,1551,2.9610167207390004,0.02204526129897307
timeframe_days,7,5335,0.5456419868791003,0.5883652430044183,1358,1.2197039869260886,0.014243075977702692
market_regime,bull,2208,0.603713768115942,0.6785046728971963,535,5.882705465031277,0.01752238060908707
market_regime,sideways,5427,0.5730606228118665,0.6020583190394511,1749,1.686178478483025,0.016384531791018488
market_regime,bear,2515,0.5514910536779324,0.5956454121306376,643,2.0037879636121207,0.017405373602667244
setup_label,general,10150,0.574384236453202,0.6146224803553126,2927,2.1168323939560647,0.016827108874036944
